
2024/01/09 (08:04:44) | ===> btop++ v.1.2.13
2024/01/09 (08:04:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (08:12:43) | ===> btop++ v.1.2.13
2024/01/10 (08:12:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (19:03:53) | ===> btop++ v.1.2.13
2024/01/10 (19:03:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (19:04:38) | ===> btop++ v.1.2.13
2024/01/10 (19:04:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (19:06:03) | ===> btop++ v.1.2.13
2024/01/10 (19:06:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (19:06:45) | ===> btop++ v.1.2.13
2024/01/10 (19:06:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/10 (19:48:37) | ===> btop++ v.1.2.13
2024/01/10 (19:48:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/01/11 (17:02:22) | ===> btop++ v.1.2.13
2024/01/11 (17:02:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
